Daycare Centre Name,Address,Ward,Contact Name,Contact Phone
Holy Family Childcare Centre-Queen Victoria,141 Close Ave   (Jameson/King West)     , Parkdale-High Park,Naresha Ali, 416-524-2052
Holy Spirit Jr YMCA,3530 Sheppard Ave E   (Birchmount / Sheppard)     , Scarborough-Agincourt,Ralph Romero, 416-913-0958
Holy Trinity YMCA,6 Colonel Samuel Smith Park Dr   (Kipling / Lake Shore Blvd W)     , Etobicoke-Lakeshore,Irene Grobelny, 647-281-4410
Howard Park Children's Centre,30 Marmaduke St   (Howard Park / Roncesvalles)     , Parkdale-High Park,Diana Cotaras, 416-532-3945
Humber Bay Child Care Centre,50 Cloverhill Rd   (Park Lawn / The Queensway)     , Etobicoke-Lakeshore,Shaza Asanovski, 416-251-8240
Humber Child Development Centre,205 Humber College Blvd   (Rexdale / Hwy. 27)     , Etobicoke North,Grace Ragogna, 416-675-5057
Humbercrest Co-Operative Nursery School,"569 Jane St ,114     ", Parkdale-High Park,Vanessa Oster, 416-763-7309
Humbercrest School Age YMCA,14 St Marks Rd   (Jane / Dundas W.)     , Parkdale-High Park,Melissa De Sousa, 416-769-6715
Humberside Montessori School,121 Kennedy Ave   (Bloor St W / Kennedy Ave)     , Parkdale-High Park,Natalie Falcitelli, 416-762-8888 ext 221
Humbervale Montessori School Inc (Facility #15068),1447 Royal York Rd   (Royal York / Eglinton W.)     , Etobicoke Centre,Andrea Heitz, 416-244-4001
Humewood Day Care Centre,15 Cherrywood Ave   (St. Clair / Christie)     , Toronto-St. Paul's,Sara Martins, 416-658-8886
Humewood House Infant Centre,40 Humewood Dr   (Christie / St. Clair)     , Toronto-St. Paul's,Sue Sinclair, 416-651-5657 ext 226
Hunter's Glen  School Age YMCA,16 Haileybury Dr   (Lawrence / Midland)     , Scarborough Centre,Melissa Aniff, 416-261-9092
Huron Playschool Co-Operative,383 Huron St   (Bloor / Huron)     , University-Rosedale,Portia Ohemaah-Akoto, 416-977-1109
Huron Superfriends Inc.,541 Huron St   (Bloor / St. George)     , University-Rosedale,Gertie Dorval, 416-921-7551
Hurwich Education Centre - Kamin,252 Finch Ave W     , Willowdale,Debbie Pisarek, 416-494-7666
Hydro Bright Lights Childcare Centre,"800 Kipling Ave ,Kp 100 Building, Unit 5   (Dundas/Kipling)     ", Etobicoke-Lakeshore,Monica Tersigni, 416-207-6856
Hydrokids - Opg,700 University Ave   (College / University)     , University-Rosedale,Marjeta Guni, 416-551-9537
Ikebata Nursery School,6 Garamond Crt   (Don Mills / Wynford Dr.)     , Don Valley East,Chinatsu Yano, 416-510-1441
Immaculate Conception Child Care Centre,23 Comay Rd   (Keele / Lawrence)     , York South-Weston,Amtul Wasay, 416-247-0537
Immanuel Child Care Centre,21 Channel Nine Crt   (McCowan / Hwy. 401)     , Scarborough North,Ingrid Van Dyk, 416-293-9361
Indian Road Crescent School Age YMCA,285 Indian Road Cres   (Keele St/Dundas St W)     , Parkdale-High Park,Fran Cugliari, 416-763-1195
Institute Of Child Study After School Daycare,45 Walmer Rd   (Spadina / Bloor)     , University-Rosedale,Anne Marie Lopez, 416-934-4512
Isabella Walton Child Care (Scarborough)Inc.,835 Birchmount Rd   (Birchmount / Eglinton)     , Scarborough Southwest,Anjali Dubey, 416-750-4598
Islington Village Childcare Centre,112 Jutland Rd     , Etobicoke-Lakeshore,Justyna Iskat, 416-255-2000
J.R. Wilcox Day Care Centre,231 Ava Rd   (Eglinton W. / Marlee Ave.)     , Toronto-St. Paul's,Daniella Suarez, 416-656-1781
Jackman Community Daycare,79 Jackman Ave   (Danforth / Chester)     , Toronto-Danforth,Tania Reid, 416-466-8715 ext 226
Jacob Tree Preschool,2610 Birchmount Rd   (Birchmount Rd / Huntingwood)     , Scarborough-Agincourt,Tim Wong, 416-459-2735
Jardin D'Eveil,294 Lawrence Ave E   (Bayview & Lawrence)     , Don Valley West,Vieira Delphine, 416-484-6533
Jesse Ketchum Early Learning & Child Care Centre,7 Berryman St   (Davenport / Bay)     , University-Rosedale,Belinda Goncalves, 416-392-5061
"Jesse Ketchum Junior And Senior Public School, Extended Day Program",61 Davenport Rd   (Davenport / Bay)     , University-Rosedale,437-339-4015 or email, nicole.bharatt@tdsb.on.ca
Jewish Russian Community Centre Preschool & Day Care,"5950 Bathurst St ,Unit #109   (Bathurst / Steeles)     ", York Centre,Esther Neft, 416-222-7105 ext 501
Jingbao (Downtown)Bilingual Children's Centre (96 Denison Avenue),96 Denison Ave     , Spadina-Fort York,Wenbo Chen, 416-603-8885
Jingbao Bilingual Children's Centre,3105 Don Mills Rd   (Don Mills / Finch)     , Don Valley North,Yan Wang, 416-494-4105
Jingbao Bilingual Children's Centre - Scarborough,2350 McCowan Rd   (McCowan / Finch Ave. E.)     , Scarborough North,Bing Ma, 416-321-6006
John A. Leslie Childcare - Scarborough,459 Midland Ave   (Midland / Kingston Rd.)     , Scarborough Southwest,Lynda Campbell, 416-261-3238
John English YMCA,95 Mimico Ave   (Royal York.Mimico Ave)     , Etobicoke-Lakeshore,Irene Grobelny, 647-281-4410
John G. Althouse B & A School Program,130 Lloyd Manor Rd   (Martingrove /Princess Margaret)     , Etobicoke Centre,Elizabeth Ann Hawkins, 416-394-6989
John G. Althouse - Princess Margaret,65 Tromley Dr   (Eglinton / Martingrove)     , Etobicoke Centre,Elizabeth Ann Hawkins, 416-394-6989
John Ross Robertson Child Centre,130 Glengrove Ave W   (Avenue / Lawrence)     , Eglinton-Lawrence,Sheryl Barton, 416-484-4825
John Wanless Child Care,245 Fairlawn Ave   (Lawrence / Avenue Rd.)     , Eglinton-Lawrence,Fiona Modeste, 416-488-8571
Jubilee Child Care Centre,"55 Emmett Ave ,109   (Jane / Eglinton)     ", York South-Weston,Francesca Santoro, 416-530-0722 ext 4019
Junction Day Care Centre,265 Annette St   (Annette / Clendenan)     , Parkdale-High Park,Tracy Spence, 416-767-2991
K.A.S.I.A. Preschool (OpKerry-Ann Facey),65 Glen Manor Dr   (Queen St E. / Glen Manor)     , Beaches-East York,Kerry-Ann Facey-Denton, 416-826-9451
Kateri Kids Child Care Centre,70 Margaret Ave   (Finch East / Victoria Park)     , Don Valley North,Andrea Miele, 416-496-2965
Keelmount Daycare Centre,99 Mountview Ave   (Bloor / Keele)     , Parkdale-High Park,Jennifer Ayre, 416-763-6824
Kenlinton Child Care Centre (OperatorStonehill)Facility #16008,2283 Eglinton Ave E   (Birchmount / Eglinton)     , Scarborough Southwest,Chauleyne Bell, 416-759-4525
Kennedy Road Kiddy Kare - (Kennedy Road Church Of The Nazarene),661 Kennedy Rd   (Kennedy / Eglinton)     , Scarborough Southwest,Helga Galostian, 416-261-1414
Kensington Kids Early Learning Centre,401 College St   (College / Bathurst)     , University-Rosedale,Elana Rosen, 416-927-0870
Kew Beach Day Care Co-Op Inc.,101 Kippendavie Ave   (Queen / Woodbine)     , Beaches-East York,Valerie Seibert, 416-698-6226
Kew Park Montessori Day School Inc. (Hiawatha Road),79 Hiawatha Rd   (Gerrard St. E. / Coxwell Ave.)     , Toronto-Danforth,Bobbi Jo Laberge, 416-694-6273
Kiddiekidz Child Care,614 Brimley Rd     , Scarborough Centre,Monina Navarrete, 647-766-5769
Kiddies Lodge Day Care Centre,764 Ellesmere Rd   (Birchmount / Ellesmere)     , Scarborough Centre,Deborah Otto, 416-298-6092
Kids & Company - Bloor Street Site,"160 Bloor St E ,Suite 160   (Bloor / Church)     ", University-Rosedale,Kendall Beatty, 416-924-5437
Kids & Company - Consumers Site,"251 Consumers Rd ,Suite 100   (Victoria Pk. / Shepperd)     ", Don Valley North,Tamara Nembhard, 416-237-0404
Kids & Company Etobicoke,"3250 Bloor St W ,Et 101   (Islington/Bloor)     ", Etobicoke-Lakeshore,Stephanie Samanica, 416-237-0404
Kids & Company - Finch Site,"5650 Yonge St ,Suite 101   (Yonge / Finch)     ", Willowdale,Vicki Dabiet, 416-227-9808
Kids & Company - Front Street Site,"320 Front St W ,Suite 100   (Front / Blue Jay Way)     ", Spadina-Fort York,Amber Vasconcelos, 647-923-5444
Kids & Company King And Highline,1100 King St W   (King St. West & Dufferin St.)     , Spadina-Fort York,Nga Nguyen, 416-236-2863
Kids & Company Ltd. - Bloor Christie,703 Bloor St W     , University-Rosedale,Anna Green, 647-345-5702
Kids & Company Ltd. - Wellington Site,"95 Wellington St W ,Suite 201   (Wellington St. W. / York St.)     ", Spadina-Fort York,Stephanie Tavares, 416-863-6868
Kids & Company Queen West,308 Queen St W   (Spadina And Queen St W)     , Spadina-Fort York,Pam Janes, 416-345-1543
Kids & Company - Rosedale,129 Mount Pleasant Rd   (Mt Pleasant Rd/Bloor St E)     , University-Rosedale,Ashleigh Strybosch, 416-938-8024
Kids & Company Scotia Plaza,"104 Yonge St ,Unit 260 & Unit 360     ", Toronto Centre,Michelle Nigli, 416-603-2992
Kids & Company St Andrews,73 Simcoe St     , Spadina-Fort York,Nusrat Remtulla, 416-506-5437
Kids & Company The Stockyards,100 Weston Rd   (Weston Rd / St Clair W)     , York South-Weston,Sue Purser, 416-938-8024
Kids Club (Day Care Connection),780 Kingston Rd   (Main / Kingston Rd.)     , Beaches-East York,Nicky Antonoglou, 416-693-6596
Kids Club Daycare & Learning Centre (OpAaa Childrens Inc.),104 Advance Rd   (Bloor St. W. / Islington)     , Etobicoke-Lakeshore,Tricia Bodal, 416-236-2863
Kids Connect Daycare,138 Main St     , Beaches-East York,Taylor Trites, 647-494-9991
Kids Haven Community Child Care,46 Cresthaven Dr   (Finch / Leslie)     , Don Valley North,Pam Geci, 416-492-8336
Kids Korner Day Care,180 Westmoreland Ave   (Bloor/Dufferin)     , Davenport,Kaitlaind Thompson, 416-536-4102
Kids Korner - St Anthony,130 Shanly St     , Davenport,Kaitlaind Thompson, 416-536-4102
Kids Love Daycare,38 Payzac Ave   (Kingston / Galloway)     , Scarborough-Guildwood,Elizabeth Afolabi-Aiyelokun, 416-281-9208
Kids Way Daycare,369 Broadview Ave     , Toronto-Danforth,Gloria De Melo, 416-508-2160
Kids Zone Daycare Inc.,123 Glendale Ave   (Roncesvalles / Queen)     , Parkdale-High Park,Branka Rados, 416-534-1758
Kids Zone Daycare On Constance,76 Constance St   (Bloor W. / Roncesvales)     , Parkdale-High Park,Reyzel-Ann Rocha, 416-551-4354
Kidz Kare Daycare,"15 York St ,3   (Lakeshore W. / York St.)     ", Spadina-Fort York,Lisa Swan, 416-407-1814
Kimbercroft Day Nursery 2,39 Kimbercroft Crt   (Markham / Sheppard)     , Scarborough North,Sandira Namrud, 416-321-1694
Kinderbrook Montessori School,1 Credit Union Dr     , Don Valley East,Nourin Thayani, 416-759-5463
Kindercircle Day Care,150 Kilgour Rd   (Bayview / Eglinton)     , Don Valley West,Kenna Paul, 416-424-3818
Kinder College Early Learning Centre,218 Richmond St W   (Richmond St. W. / MC Caul St)     , Spadina-Fort York,Maryam Doaei, 416-479-0004
Kinder Grove St. Clair,94 Vaughan Rd     , Toronto-St. Paul's,Shmuel Askenasi, 416-654-1678
King George B & A School Program,25 Rexford Rd   (Jane / Dundas)     , Parkdale-High Park,Zeynep Saykili, 647-567-5074
Kingston Road East Early Learning And Child Care Centre,3392 Kingston Rd   (Kingston / Markham)     , Scarborough Southwest,Linda Darlene Tisman, 416-396-3755
Kingsview Child Care,340 Dixon Rd   (Dixon / Islington)     , Etobicoke North,Pauline Holt, 416-249-7601
Kingsway Nursery School,85 The Kingsway   (Kingsway / Prince Edward)     , Etobicoke-Lakeshore,Sara Cuda, 416-233-1491
Kipling Early Learning & Child Care Centre,2233 Kipling Ave   (Kipling Ave. / Rexdale Blvd.)     , Etobicoke North,Rafelina Loschiavo, 416-397-9961
Knob Hill Day Nursery,23 Gage Ave   (Brimley / Lawrence)     , Scarborough Centre,Annalyn Narciso, 416-439-9864
Knob Hill School Age YMCA,25 Seminole Ave   (Brimley / Eglinton)     , Scarborough Centre,Erin Andersen, 416-296-9907
Kodomoen Childcare Centre,"630 Spadina Ave ,2nd Floor   (College / Spadina)     ", University-Rosedale,Shizuka Hosein, 416-599-2426
Kreative Kids Child Care Centre,100 Bamburgh Cir   (Warden / Finch)     , Scarborough-Agincourt,Lesley-Anne Hercules, 647-438-9411
Kreative Kids Terry Fox,185 Wintermute Blvd     , Scarborough-Agincourt,Lesley-Anne Hercules, 647-438-9411
La Citadelle International Academy Of Arts & Science,36 Scarsdale Rd     , Don Valley East,Alfred Abouchar, 416-385-9685
Lady Bug Day Care Centre,400 Burnhamthorpe Rd   (Burnhamthorpe / East Mall)     , Etobicoke Centre,Laura Perrier, 416-626-1251
Lakeshore Community Child Care Centre,101 Seventh St   (Islington / Lake Shore Blvd. W)     , Etobicoke-Lakeshore,Kwameah Anoush Bennett, 416-394-7601
Lakeside Co-Operative Playschool Inc.,2226 Queen St E   (Queen St E & Beech Ave)     , Beaches-East York,Chris Probst, 416-524-5676
Lambton - Kingsway B & After School Program,525 Prince Edward Dr N   (Dundas W. / Royal York)     , Etobicoke-Lakeshore,Laura Van De Kraats, 416-394-6400
Lambton Park Child Care Centre,50 Bernice Cres   (Jane / St. Clair W.)     , York South-Weston,Karin Dewinter, 416-762-5177
Lamp Jr YMCA,185 Fifth St   (Burmingham / Islington)     , Etobicoke-Lakeshore,Filomena Zita, 416-252-8544
Lansing Co-Op Nursery School,80 Church Ave   (Yonge / Finch)     , Willowdale,Leslie Beveridge, 416-225-4581
La Petite Ecole,130 Kennedy Ave   (Runnymede/Bloor)     , Parkdale-High Park,Jennifer Brown, 416-871-6145
Lawrence Heights Community Day Care Centre,10 Flemington Rd   (William R. Allen / Bathurst)     , Eglinton-Lawrence,Harriette Noel-Humes, 416-787-4105
Lawrence Orton Early Learning & Child Care Centre,3947 Lawrence Ave E     , Scarborough-Guildwood,Eileen Marquez, 416-392-5692
Lawrence Park School,2180 Bayview Ave   (Bayview / Lawrence)     , Don Valley West,Kirsten Bell, 416-489-4459
Learning Garden Childcare,69 Six Point Rd   (Islington / Queensway)     , Etobicoke-Lakeshore,Amal Akram, 416-231-8998
Learning Jungle Buttonwood,100 Sidney Belsey Cres   (Jane & Weston)     , York South-Weston,Sunita Mody, 416-241-3800
Learning Jungle Kennedy,"3376 Kennedy Rd ,Unit 101     ", Scarborough-Agincourt,Jessica Pita, 416-291-7187
Learning Jungle School - Briarcrest Manor,1982 Islington Ave     , Etobicoke Centre,Amanda Katryan, 416-244-8691
Leaside Children's House,839 Millwood Rd   (Millwood / Laird)     , Don Valley West,Lillian Nimis, 416-425-0101
Leaside Day Care Centre,206 Laird Dr   (Laird / Eglinton)     , Don Valley West,Frances Quin, 416-487-5862
Ledbury Park Child Care Program,95 Falkirk St   (Bathurst / Lawrence)     , Eglinton-Lawrence,Christine File, 416-782-2539
Lee Wiggins Childcare Centre (The),"4700 Keele St ,Room 201   (Keele / Steeles W.)     ", Humber River-Black Creek,Michelle Pham, 416-736-5959
Lef - Vaughan Road Infant And Toddler Centre,529 Vaughan Rd   (Vaughan Rd. / Oakwood)     , Toronto-St. Paul's,Brittany Simpson, 416-658-1874
Le Jardin De Moliere Inc,"3029 Lake Shore Blvd W ,2nd Floor     ", Etobicoke-Lakeshore,Yesica Valencia, 647-774-8628
Leonardo Da Vinci Academy Of Arts & Science,901 Lawrence Ave W     , Eglinton-Lawrence,Susan Lee, 416-247-6137
Le Petit Chaperon Rouge - Coxwell,419 Coxwell Ave   (Coxwell / Gerrard)     , Beaches-East York,Balfoul Jamila, 416-463-3955
Le Petit Chaperon Rouge - Etobicoke,755 Royal York Rd   (Royal York / Norseman)     , Etobicoke-Lakeshore,Axelle Bangala, 416-236-4557
Le Petit Chaperon Rouge - Gainsborough,250 Gainsborough Rd   (Coxwell / Gerrard)     , Beaches-East York,Hayat Lamouri, 416-465-2582
Le Petit Chaperon Rouge - Jones,343 Jones Ave   (Jones & Gerrard E)     , Toronto-Danforth,Saliha Mtoui, 416-465-2227
Le Petit Chaperon Rouge - Queensdale,80 Queensdale Ave   (Monarch Park / Sammon)     , Toronto-Danforth,Souhila Tata, 416-463-3975
Le Petit Chaperon Rouge - Richview,59 Clement Rd   (Martin Grove/Eglinton West)     , Etobicoke Centre,Amina Injar, 416-240-9559
Le Petit Chaperon Rouge - Scarborough,29 Meadowvale Rd     , Scarborough-Rouge Park,Ayesha Ysraël, 416-282-4550
Leroux Froebel Bilingual School,72 Main St   (Main / Kingston Rd.)     , Beaches-East York,April Zagala, 416-698-1923
Les Bouts D'Choux,98 Essex St   (Bloor/Christie)     , University-Rosedale,Julie Meta Kadiamba, 416-960-9929
Lescon Learners Child Care,34 Lescon Rd   (Leslie / Sheppard)     , Don Valley North,Jaana Kitchen, 416-499-7325
Les Etoiles Brillantes 2,100 Ravel Rd     , Don Valley North,Deborah Yala, 647-285-2099
Les Etoiles Brillantes - Garderie,85 Forty First St   (Lakeshore Rd W /Forty First St)     , Etobicoke-Lakeshore,Deborah Yala, 647-285-2099
Les Merveilles Du Monde,150 Carnforth Rd   (Victoria Park /Lawrence E)     , Don Valley East,Mariama Barry, 647-428-0084
Liberty Preparatory School Inc.,181 Carlaw Ave   (Queen/Carlaw)     , Toronto-Danforth,Leslie Shuber, 416-461-3216
Liberty Prep - Parliament,162 Parliament St     , Toronto Centre,Laura McDougall, 416-603-0341
Life-Bridge Child Care,330 University Ave   (Queen / University)     , Spadina-Fort York,Lucy Ngo, 416-552-6323
"Lillian Public School, Extended Day Program",1059 Lillian St   (Yonge / Steeles)     , Willowdale,416-803-2147 or email, susie.surette@tdsb.on.ca
Lily's House Day Care Centre,1032 Coxwell Ave   (Coxwell / O'Connor)     , Toronto-Danforth,Liliam Benvenutto, 416-423-8580
Little Acorns Montessori School,40 Underhill Dr   (Lawrence Ave. E. / Dvp)     , Don Valley East,Cathie Mahoney, 416-725-6459
Little Angels Childcare Learning Centre,1695 Dufferin St   (Dufferin St./St. Clair West)     , Davenport,Nicole Canejo, 416-652-1868
Little Bugs Nursery Corporation,1448 Kingston Rd     , Scarborough Southwest,Jennifer Naraine, 416-565-1109
Little Footsteps Childcare Inc.,404 Willard Ave     , Parkdale-High Park,Lisa Todorovic, 416-604-0330
Little Giants Childcare Centre Inc.,"50 Forest Manor Rd ,Unit 3-6   (Don Mills Rd & Sheppard Ave E)     ", Don Valley North,Pauline Fung-Moi Lee, 647-863-6586
Little Learners Academy Inc.,268 Jane St   (Jane St. / Annette St.)     , Parkdale-High Park,Salima Rawjee, 416-551-7114
Little Tots' Manor,211 Belsize Dr   (Davisville / Mt. Pleasant)     , Don Valley West,Delene Spragge, 416-485-5515
Little Tots' Manor 2,376 Balliol St   (Mt. Pleasant / Davisville)     , Don Valley West,Kayla Gosse, 416-485-5515
Little Town Childcare And Montessori,122 Queens Plate Dr     , Etobicoke North,Shaheen Nighat, 416-786-9090
Lord Dufferin Community Day Care Centre,350 Parliament St   (Gerrard / Parliament)     , Toronto Centre,Karen Yu-Chong, 416-960-8604
Lori Gardens Centre For Early Learning,2405 Finch Ave W   (Finch / Weston)     , Humber River-Black Creek,Andrea Leach, 416-743-1222 ext 221
Lucy Maud Montgomery Jr YMCA,95 Murison Blvd   (Sheppard / Neilson)     , Scarborough-Rouge Park,Aprille Anderson, 416-287-7925
Lullaboo Childcare Center (College),860 College St     , Davenport,Hong Xia, 905-780-3078
Lullaboo Nursery And Childcare Center,2316 Queen St E     , Beaches-East York,Effie Alafogiannis, 416-849-2977
Lycee Francais De Toronto,2327 Dufferin St   (Dufferin / Eglinton W.)     , Toronto-St. Paul's,Barbara Martin, 416-258-2121
Lynngate Jr YMCA,129 Cass Ave   (Warden / Sheppard)     , Scarborough-Agincourt,Nirvani Persaud, 416-293-3020
Lynnwood Heights Junior Public School,50 Southlawn Dr     , Scarborough-Agincourt,Shala Hashimi, 416-297-9660
Macaulay Child Development Centre - Dovercourt Child Care Centre,228 Bartlett Ave   (Dupont / Dufferin)     , Davenport,Jessica Mui, 416-516-8367
Macaulay Child Development Centre - Jane Street Child Care Centre,610 Jane St   (St. Clair W. / Jane)     , Parkdale-High Park,Christine Ramondino, 416-769-8021 ext 621
Macaulay Child Development Centre - Keelesdale,"200 Bicknell Ave ,Lower Level   (Eglinton W. / Keele)     ", York South-Weston,Dagmar Grasser, 416-789-7441 ext 550
Macaulay Child Development Centre - Marlee Child Care Centre,145 Marlee Ave   (Lawrence Ave W / Marlee Ave)     , Eglinton-Lawrence,Andrea Barrios, 416-546-8931
Macaulay Child Development Centre - Mountview Child Care Centre,569 Jane St   (Jane & Dundas)     , Parkdale-High Park,Patience Adaramola, 416-780-2720
Macaulay Child Development Centre - St.Nicholas Of Bari Child Care,363 Rogers Rd     , Davenport,Leah Liang, 416-789-7441
Macaulay Child Development Centre - Stanley,75 Stanley Rd     , Humber River-Black Creek,Sabrina Luongo-Silva, 416-789-7441 ext 256
Macaulay Child Development Centre-Warren Park,135 Varsity Rd   (Varsity / Dundas W.)     , Parkdale-High Park,Allison McMillan-Radomski, 416-769-1253
Macaulay Child Development - Regent Street,48 Regent St   (Keele / Rogers)     , York South-Weston,Taylor Peart, 416-653-8322
Macaulay - Fh Miller Public School,300 Caledonia Rd   (Caledonia And Rogers Rd)     , Davenport,Leah Liang, 416-789-7441
Macaulay - Humberwood,850 Humberwood Blvd   (Hwy. 427 / Rexdale)     , Etobicoke North,Denise Domise, 416-394-4766
Macaulay - St. Andre Catholic School,36 Yvonne Ave   (Jane St & Wilson Ave)     , Humber River-Black Creek,Latoia McLean, 416-312-5044
Mackie Sunshine Childcare Inc. - St. Denis Sunshine,67 Balsam Ave   (Victoria Park / Queen St. E.)     , Beaches-East York,Samantha Dawe, 416-434-9146
Mackie Sunshine Child Care Inc.St. Joseph's Sunshine,176 Leslie St   (Dundas / Leslie)     , Toronto-Danforth,Samantha Rampersad, 416-434-9146
Main Square Day Care Centre,"265 Main St ,Bldg C   (Main / Danforth)     ", Beaches-East York,June Hall, 416-691-3909
Malvern Early Learning & Child Care Centre,1321 Neilson Rd   (Sewells / Neilson)     , Scarborough-Rouge Park,Theresa Persaud, 416-392-3766
Mandi Day Care,30 Barrhead Cres   (Kipling / Rexdale Blvd.)     , Etobicoke North,Romona Singh, 416-749-8110
Manor Montessori School,9 Elvina Gdns     , Don Valley West,Dana Stewart, 416-488-4218
Manor Montessori School 3,909 Mount Pleasant Rd   (Mount Pleasant Road / Broadway)     , Don Valley West,Dana Stewart, 416-488-4218
Manor Montessori School Inc - 14 De Savery Crescent,14 De Savery Cres   (Davisville / Mt. Pleasant)     , Toronto-St. Paul's,Dana Stewart, 416-488-4218
Manor Road Co-Operative Nursery School,111 Manor Rd E   (Davisville / Mt. Pleasant)     , Toronto-St. Paul's,Faryl Kates, 416-489-9554
Maplewood Before And After School Care,15 Cherrywood Ave   (Vaughan / St. Clair)     , Toronto-St. Paul's,Marylou Aguiar, 416-654-2498
Ma Premiere Ecole,2383 Queen St E     , Beaches-East York,Carole Mindjimba, 416-671-4367
Marguerite Butt Early Learning & Child Care Centre,3197 Lake Shore Blvd W   (Lake Shore Blvd W / Kipling)     , Etobicoke-Lakeshore,Kathy Wilson, 416-392-4652
Maria Montessori School Young Children's Community,125 Brentcliffe Rd     , Don Valley West,Alanah Dickson, 416-423-9123
"Market Lane Junior And Senior Public School, Extended Day Program",246 The Esplanade   (Front St E & Parliament)     , Toronto Centre,437-339-4015 or email, nicole.bharatt@tdsb.on.ca
Martingrove Child Care Centre,"256 John Garland Blvd ,131 & 132   (Martingrove / John Garland)     ", Etobicoke North,Diane Bisnauth, 416-742-1812
Martin Luther Child Care - Lakeshore,2379 Lake Shore Blvd W   (Lake Shore Blvd W/Superior Ave)     , Etobicoke-Lakeshore,Citlalli Jimenez-Luengas, 416-259-2861
Martin Luther Child Care - Superior,5 Superior Ave   (Lake Shore Blvd W / Royal York)     , Etobicoke-Lakeshore,Citlalli Jimenez-Luengas, 416-259-2861
Maryvale Jr YMCA,1325 Pharmacy Ave   (Pharmacy / Ellesmere)     , Scarborough Centre,Sol Shenian, 416-447-8115
Mary Ward Child Care Centre,3200 Kennedy Rd   (Kennedy / Steeles)     , Scarborough-Agincourt,Shala Hashimi, 416-297-9660
Massey Centre Early Learning Centre,1102 Broadview Ave   (Broadview / Mortimer)     , Toronto-Danforth,Paul Jackson, 416-696-3348
Matthew-John Early Learning Centre,135 First Ave   (Gerrard / Broadview)     , Toronto-Danforth,Jolanta Sadocha, 416-466-8001
Maurice Cody Child Care,364 Belsize Dr   (Bayview / Millwood)     , Don Valley West,Kimberly Stevenson, 416-484-4881
McDc/St. John,23 George St   (Lawrence Ave And Weston Rd)     , York South-Weston,Melissa Howitt, 416-516-8367
McGregor Jr YMCA,555 Mortimer Ave   (Coxwell / Mortimer)     , Toronto-Danforth,Stephanie Fraggoulis, 416-463-2976
McKee McKids Enrichment Centre,35 Church Ave   (Yonge / Finch)     , Willowdale,Heather Yeo, 416-222-1414
McMurrich Co-Op Play School,115 Winona Dr   (Winona / St. Clair W.)     , Toronto-St. Paul's,Cathy Rubino, 416-738-9456
McMurrich Sprouts,115 Winona Dr   (St. Clair / Oakwood)     , Toronto-St. Paul's,Brenda Evans, 416-656-7957
McNicoll Avenue Child Care Program,155 McNicoll Ave   (Don Mills / Finch)     , Don Valley North,Lynn Lewis, 416-499-9743
Meadowvale Daycare Centre,761 Meadowvale Rd   (Meadowvale / Ellesmere)     , Scarborough-Rouge Park,Gloria Kanhai, 416-281-4171
Metro Hall Early Learning & Child Care Centre,"55 John St ,Station 1014   (John / King)     ", Spadina-Fort York,Jane Silcox, 416-397-5171
Midland Child Care Centre,4220 Midland Ave   (Midland / Steeles)     , Scarborough-Agincourt,Beth Ho, 416-291-4886
Mighty Kids,14 Verral Ave     , Toronto-Danforth,Sally Hooper, 416-312-8949
Miles Nadal Community Centre Nursery School,750 Spadina Ave   (Bloor / Spadina)     , University-Rosedale,Cheri Szereszewski, 416-924-6211 ext 6119
Millvalley Child Care Centre,411 Mill Rd   (Burnamthorpe / Mill Rd.)     , Etobicoke Centre,Marlene Bali, 416-621-7553 ext 10
Millwood Jr YMCA,222 Mill Rd   (Mill Rd. / Bloor)     , Etobicoke Centre,Raquel Barbosa, 416-622-6331
Mindwerx 4 Kids Learning Centre,3825 Bloor St W   (Bloor W. / Kipling Ave.)     , Etobicoke-Lakeshore,Deborah Andrade, 416-233-5437
Momentum Montessori Regent Park Inc,237 Sackville St     , Toronto Centre,Natalie Edwards, 416-875-7272
Monarch Manor,240 Manor Rd E     , Don Valley West,Rose An, 416-544-8686
Monarch Park Montessori,201 Monarch Park Ave   (Danforth Ave./ Greenwood)     , Toronto-Danforth,Huma Esmail, 647-748-8822
Mon Petit Univers,1578 Kingston Rd   (Kingston / Warden)     , Scarborough Southwest,Dafenid Frederic, 647-403-2327
Montessori Education Centre,16 Thorncliffe Park Dr   (Thorncliffe Park Dr/Overlea Bl)     , Don Valley West,Imanti De Bellefeuille, 416-421-0007
Montessori For Children (St. Clair)Inc,25 Alvin Ave   (Yonge / St. Clair)     , Toronto-St. Paul's,Tracey Fenster, 416-927-1958
Montessori Jewish Day School Of Toronto,55 Yeomans Rd   (Sheppard Ave. W. / Bathurst)     , York Centre,Steve Bibla, 416-784-5071
Montessori Start Inc,1195 Lawrence Ave W   (Lawrence & Caledonia)     , Eglinton-Lawrence,Rosa Marcellino, 416-901-9363
Montessori Villa Wisdom Inc.,231 Milner Ave     , Scarborough North,Ranjana Bedi-Deonarain, 647-876-5414
Montrose Child Care Centre Inc.,301 Montrose Ave   (Bloor W. / Christie)     , University-Rosedale,Patricia Yan-Badilla, 416-532-6675
Morningside Children's Centre,292 Morningside Ave   (Morningside / Kingston Rd.)     , Scarborough-Guildwood,Sobana Perapagaran, 416-282-9956
